hotel_name,hotel_url,group_label,group_type
DoubleTree Fallsview Resort & Spa by Hilton - Niagara Falls,https://www.hilton.com/en/hotels/iagdtdt-doubletree-fallsview-resort-and-spa-niagara-falls/,DoubleTree by Hilton,Brand
DoubleTree Resort Hollywood Beach,https://www.hilton.com/en/hotels/hwofldt-doubletree-resort-hollywood-beach/,DoubleTree by Hilton,Brand
DoubleTree Resort by Hilton Fiji - Sonaisali Island,https://www.hilton.com/en/hotels/nansidi-doubletree-resort-fiji-sonaisali-island/,DoubleTree by Hilton,Brand
DoubleTree Resort by Hilton Grand Key - Key West,https://www.hilton.com/en/hotels/eywdtdt-doubletree-resort-grand-key-key-west/,DoubleTree by Hilton,Brand
DoubleTree Resort by Hilton Lancaster,https://www.hilton.com/en/hotels/lnswvdt-doubletree-resort-lancaster/,DoubleTree by Hilton,Brand
DoubleTree Resort by Hilton Paradise Valley - Scottsdale,https://www.hilton.com/en/hotels/phxsjdt-doubletree-resort-paradise-valley-scottsdale/,DoubleTree by Hilton,Brand
DoubleTree Resort by Hilton Penang,https://www.hilton.com/en/hotels/penmbdi-doubletree-resort-penang/,DoubleTree by Hilton,Brand
DoubleTree Suites by Hilton Orlando - Disney Springs Area,https://www.hilton.com/en/hotels/mcofhdt-doubletree-suites-orlando/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Alana - Waikiki Beach,https://www.hilton.com/en/hotels/hnlkadt-doubletree-alana-waikiki-beach/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Antalya-Kemer All-Inclusive Resort,https://www.hilton.com/en/hotels/aytakdi-doubletree-antalya-kemer-all-inclusive-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Bodrum Isil Club All-Inclusive Resort,https://www.hilton.com/en/hotels/bjvtrdi-doubletree-bodrum-isil-club-all-inclusive-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Damai Laut Resort,https://www.hilton.com/en/hotels/iphdldi-doubletree-damai-laut-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Dubai - Jumeirah Beach,https://www.hilton.com/en/hotels/dxbthdi-doubletree-dubai-jumeirah-beach/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Goa - Arpora - Baga,https://www.hilton.com/en/hotels/goiabdi-doubletree-goa-arpora-baga/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Goa Panaji,https://www.hilton.com/en/hotels/goigddi-doubletree-goa-panaji/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Golf Resort Palm Springs,https://www.hilton.com/en/hotels/pspdpdt-doubletree-golf-resort-palm-springs/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Islantilla Beach Golf Resort,https://www.hilton.com/en/hotels/hevirdi-doubletree-islantilla-beach-golf-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton La Torre Golf & Spa Resort,https://www.hilton.com/en/hotels/mjvltdi-doubletree-la-torre-golf-and-spa-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Lagoa Azores,https://www.hilton.com/en/hotels/pdlladi-doubletree-lagoa-azores/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Malta,https://www.hilton.com/en/hotels/mlaspdi-doubletree-malta/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Myrtle Beach,https://www.hilton.com/en/hotels/myrdtdt-doubletree-resort-myrtle-beach-oceanfront/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Noumea Ilot Maitre Resort,https://www.hilton.com/en/hotels/noudidi-doubletree-noumea-ilot-maitre-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Ocean Point Resort & Spa - North Miami,https://www.hilton.com/en/hotels/miaopdt-doubletree-resort-and-spa-ocean-point-north-miami-beach/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Okinawa Chatan Resort,https://www.hilton.com/en/hotels/okadidi-doubletree-okinawa-chatan-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Orlando at SeaWorld,https://www.hilton.com/en/hotels/mcosrdt-doubletree-orlando-at-seaworld/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Park City - The Yarrow,https://www.hilton.com/en/hotels/slcywdt-doubletree-park-city-the-yarrow/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Phuket Banthai Resort,https://www.hilton.com/en/hotels/hktpadi-doubletree-phuket-banthai-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Quebec Resort,https://www.hilton.com/en/hotels/yqbqcdt-doubletree-quebec-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Resort & Spa Marjan Island,https://www.hilton.com/en/hotels/rktmidi-doubletree-resort-and-spa-marjan-island/,DoubleTree by Hilton,Brand
DoubleTree by Hilton San Juan,https://www.hilton.com/en/hotels/sjudtdt-doubletree-san-juan/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Seychelles - Allamanda Resort & Spa,https://www.hilton.com/en/hotels/sezdtdi-doubletree-seychelles-allamanda-resort-and-spa/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Shanwei,https://www.hilton.com/en/hotels/swadidi-doubletree-shanwei/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Sharm El Sheikh - Sharks Bay Resort,https://www.hilton.com/en/hotels/sshsbdi-doubletree-sharm-el-sheikh-sharks-bay-resort/,DoubleTree by Hilton,Brand
DoubleTree by Hilton Weerawila Rajawarna Resort,https://www.hilton.com/en/hotels/wrzrjdi-doubletree-weerawila-rajawarna-resort/,DoubleTree by Hilton,Brand
Doubletree by Hilton Mazatlan,https://www.hilton.com/en/hotels/mztdtdt-doubletree-mazatlan/,DoubleTree by Hilton,Brand
Grand Naniloa Hotel Hilo - a DoubleTree by Hilton,https://www.hilton.com/en/hotels/itohndt-grand-naniloa-hotel-hilo/,DoubleTree by Hilton,Brand
Highline Vail - a DoubleTree by Hilton,https://www.hilton.com/en/hotels/egevcdt-highline-vail/,DoubleTree by Hilton,Brand
Embassy Suites St Augustine Beach Oceanfront Resort,https://www.hilton.com/en/hotels/ustboes-embassy-suites-st-augustine-beach-oceanfront-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Aruba Resort,https://www.hilton.com/en/hotels/auajmes-embassy-suites-aruba-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Charlotte-Concord-Golf Resort & Spa,https://www.hilton.com/en/hotels/cltcces-embassy-suites-charlotte-concord-golf-resort-and-spa/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Deerfield Beach Resort & Spa,https://www.hilton.com/en/hotels/deefles-embassy-suites-deerfield-beach-resort-and-spa/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Dorado del Mar Beach Resort,https://www.hilton.com/en/hotels/dorpres-embassy-suites-dorado-del-mar-beach-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Greenville Golf Resort & Conf Ctr,https://www.hilton.com/en/hotels/gspeses-embassy-suites-greenville-golf-resort-and-conference-center/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Gulf Shores Beach Resort,https://www.hilton.com/en/hotels/gufbees-embassy-suites-gulf-shores-beach-resort/,Embassy Suites by Hilton,Brand
Embassy Suites by Hilton Myrtle Beach Oceanfront Resort,https://www.hilton.com/en/hotels/myreses-embassy-suites-myrtle-beach-oceanfront-resort/,Embassy Suites by Hilton,Brand
