hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
"Faro Blanco Resort & Yacht Club Marathon, Curio by Hilton",https://www.hilton.com/en/hotels/mthfbqq-faro-blanco-resort-and-yacht-club-marathon,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,24.7095505,-81.1051153,"1996 Overseas Hwy, Marathon, FL 33050, USA",google_places,PLACE_DETAILS,ChIJM5m7vuze0IgRdiqNqJoC5CY,establishment;lodging;point_of_interest,False,PLACES:mthfbqq faro blanco resort yacht club marathon Curio Collection by Hilton Hotel
"Gale South Beach, Curio Collection by Hilton",https://www.hilton.com/en/hotels/miagsqq-gale-south-beach,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,25.7921419,-80.13023,"1690 Collins Ave, Miami Beach, FL 33139, USA",google_places,PLACE_DETAILS,ChIJazj3FJu02YgR_4npDxUJIZM,establishment;lodging;point_of_interest,False,PLACES:miagsqq gale south beach Curio Collection by Hilton Hotel
"Grand Hotel des Sablettes Plage, Curio Collection by Hilton",https://www.hilton.com/en/hotels/tlnspqq-grand-hotel-des-sablettes-plage,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,43.07875749999999,5.8916996,"575 Av. Charles de Gaulle, 83500 La Seyne-sur-Mer, France",google_places,PLACE_DETAILS,ChIJMUA3-DUDyRIR7QqxUQtrD4s,establishment;lodging;point_of_interest;spa,False,PLACES:tlnspqq grand hotel des sablettes plage Curio Collection by Hilton Hotel
"Harbor Club St. Lucia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/sluhcqq-harbor-club-st-lucia,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,14.0733749,-60.94774229999999,"Rodney Bay Marina, Gros Islet, St Lucia",google_places,PLACE_DETAILS,ChIJTbLvb4RCQIwR7vQu04tRyAY,establishment;lodging;point_of_interest,False,PLACES:sluhcqq harbor club st lucia Curio Collection by Hilton Hotel
"Higueron Hotel Malaga, Curio Collection by Hilton",https://www.hilton.com/en/hotels/agprhqq-higueron-hotel-malaga/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,36.5804062,-4.5956264,"Av. del Higuerón, 48, 29640 Fuengirola, Málaga, Spain",google_places,PLACE_DETAILS,ChIJ9Yuj1w3jcg0RcbKU2iByoVI,establishment;lodging;point_of_interest;spa,False,PLACES:agprhqq higueron hotel malaga Curio Collection by Hilton Hotel
"Hotel Alpenrock Breckenridge, Curio Collection by Hilton",https://www.hilton.com/en/hotels/qkbbrqq-alpenrock-breckenridge/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,39.4755161,-106.0503303,"550 Village Rd, Breckenridge, CO 80424, USA",google_places,PLACE_DETAILS,ChIJ5ZNbc2P2aocRiXqyi4ut7OU,establishment;lodging;point_of_interest,False,PLACES:qkbbrqq alpenrock breckenridge Curio Collection by Hilton Hotel
"Hotel Maren Fort Lauderdale Beach, Curio Collection by Hilton",https://www.hilton.com/en/hotels/fllucqq-hotel-maren-fort-lauderdale-beach/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,26.1158213,-80.1052631,"525 S Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33316, USA",google_places,PLACE_DETAILS,ChIJMygtZy8A2YgRN24gA8Rb-vg,establishment;lodging;point_of_interest,False,PLACES:fllucqq hotel maren fort lauderdale beach Curio Collection by Hilton Hotel
"Hotel del Coronado, Curio Collection by Hilton",https://www.hilton.com/en/hotels/sanqqqq-hotel-del-coronado/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,32.6805447,-117.178224,"1500 Orange Ave, Coronado, CA 92118, USA",google_places,PLACE_DETAILS,ChIJfX-aw82s3oARR6xrvVBVJXY,establishment;lodging;point_of_interest,False,PLACES:sanqqqq hotel del coronado Curio Collection by Hilton Hotel
"Il Picciolo Etna Golf Resort & Spa, Curio Collection by Hilton",https://www.hilton.com/en/hotels/ctasiqq-il-piccolo-etna-golf-resort-and-spa/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,37.8552037,15.1025861,"SS120, KM 200, 95012 Castiglione di Sicilia CT, Italy",google_places,PLACE_DETAILS,ChIJo2qx8X4cFBMRfy-fWXcoOwE,establishment;lodging;point_of_interest;spa,False,PLACES:ctasiqq il piccolo etna golf resort spa Curio Collection by Hilton Hotel
Indura Beach & Golf Resort Curio Collection by Hilton,https://www.hilton.com/en/hotels/teaibqq-indura-beach-and-golf-resort/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,15.8009193,-87.538635,"Desarollo Turistico Bahia de Tela, Tela, AT, Honduras",google_places,PLACE_DETAILS,ChIJQTFTKmPVZ48RtEmRk3REPFU,establishment;lodging;point_of_interest,False,PLACES:teaibqq indura beach golf resort Curio Collection by Hilton Hotel
"Isla Brown Chania Resort, Curio Collection by Hilton",https://www.hilton.com/en/hotels/heribqq-isla-brown-resort-chania/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,35.5842249,24.0754187,"Stavros 731 00, Greece",google_places,PLACE_DETAILS,ChIJWXPnHWZ5nBQRtMoVXuWzvAc,establishment;lodging;point_of_interest;spa,False,PLACES:heribqq isla brown resort chania Curio Collection by Hilton Hotel
"Isla Brown Corinthia Resort & Spa, Curio Collection by Hilton",https://www.hilton.com/en/hotels/athibqq-isla-brown-corinthia-resort-and-spa/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,37.9317792,23.1462182,"Palea EO Athinon Korinthou, Agii Theodori 200 03, Greece",google_places,PLACE_DETAILS,ChIJ5a3kxfc4oBQR9Yfc_XOOaKQ,establishment;lodging;point_of_interest;spa,False,PLACES:athibqq isla brown corinthia resort spa Curio Collection by Hilton Hotel
"Koi Resort Saint Kitts, Curio Collection by Hilton",https://www.hilton.com/en/hotels/skbkrqq-koi-resort-saint-kitts/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,17.3085571,-62.6928284,"100 Koi Resort Drive, Basseterre, St Kitts & Nevis",google_places,PLACE_DETAILS,ChIJLQtOdNQbEowR4FDVYJafgE0,establishment;lodging;point_of_interest,False,PLACES:skbkrqq koi resort saint kitts Curio Collection by Hilton Hotel
"La Festa Phu Quoc, Curio Collection by Hilton",https://www.hilton.com/en/hotels/pqcpqqq-la-festa-phu-quoc/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,10.0295567,104.0075604,"Sunset Town, An Thới, Phú Quốc, Kiên Giang 91000, Vietnam",google_places,PLACE_DETAILS,ChIJc4_lgKCWpzERfX9ic42Xi-s,establishment;lodging;point_of_interest;spa,False,PLACES:pqcpqqq la festa phu quoc Curio Collection by Hilton Hotel
"La Quinta Resort & Club, Curio Collection by Hilton",https://www.hilton.com/en/hotels/psplqqq-la-quinta-resort-and-club/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,33.688009,-116.3105508,"49-499 Eisenhower Dr, La Quinta, CA 92253, USA",google_places,PLACE_DETAILS,ChIJNwsbrqT42oARVELD3TNEVmc,establishment;lodging;point_of_interest,False,PLACES:psplqqq la quinta resort club Curio Collection by Hilton Hotel
"Mangias Santa Teresa Sardinia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/olbccqq-mangias-santa-teresa-sardinia/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,41.2219744,9.1668079,"Via Antares, 1, 07028 Santa Teresa Gallura Provincia della Gallura Nord-Est Sardegna, Italy",google_places,PLACE_DETAILS,ChIJw9-siunh2xIRpxjKMgwanCc,establishment;lodging;point_of_interest;spa,False,PLACES:olbccqq mangias santa teresa sardinia Curio Collection by Hilton Hotel
"Mangrove Beach Corendon Curacao All-Inclusive Resort, Curio",https://www.hilton.com/en/hotels/curryqq-mangrove-beach-corendon-curacao-all-inclusive-resort/,,Curio Collection by Hilton,Curio Collection by Hilton,Brand,12.1089564,-68.9424867,"31 Pater Euwensweg, Willemstad, Curaçao",google_places,PLACE_DETAILS,ChIJiVv73fiChI4REgECl1BzOGw,establishment;lodging;point_of_interest,False,PLACES:curryqq mangrove beach corendon curacao all inclusive resort Curio Collection by Hilton Hotel
